district,state,N,P,K,pH,OC,Temperature,Humidity,Rainfall_monthly,data_source,farms_sampled,cycle,district_code,state_code
Balod,Chhattisgarh,263.42,13.44,406.67,6.62,0.58,27.0,72,130,SHC_WMS_Farms,115,2024-25,646,22
Baloda Bazar,Chhattisgarh,188.16,13.44,341.6,6.8,0.52,27.0,72,130,SHC_WMS_Farms,59,2025-26,644,22
Bastar,Chhattisgarh,250.88,16.34,198.24,5.91,0.49,27.0,72,130,SHC_WMS_Farms,403,2024-25,374,22
Bemetara,Chhattisgarh,188.16,15.13,366.24,7.18,0.62,27.0,72,130,SHC_WMS_Farms,207,2024-25,650,22
Bijapur,Chhattisgarh,200.7,11.55,206.2,6.67,0.61,27.0,72,130,SHC_WMS_Farms,290,2024-25,636,22
Balrampur,Chhattisgarh,263.42,9.28,268.8,5.94,0.42,27.0,72,130,SHC_WMS_Farms,58,2025-26,649,22
Bilaspur,Chhattisgarh,200.0,8.96,313.0,6.9,0.45,27.0,72,130,SHC_WMS_Farms,106,2023-24,375,22
Dantewada,Chhattisgarh,188.16,13.63,204.71,6.77,0.57,27.0,72,130,SHC_WMS_Farms,86,2025-26,376,22
Dhamtari,Chhattisgarh,289.0,17.0,280.0,6.86,0.58,27.0,72,130,SHC_WMS_Farms,302,2024-25,377,22
Durg,Chhattisgarh,439.04,17.47,400.96,7.16,0.64,27.0,72,130,SHC_WMS_Farms,74,2025-26,378,22
Gariyaband,Chhattisgarh,188.16,13.14,298.75,6.1,0.57,27.0,72,130,SHC_WMS_Farms,75,2025-26,645,22
Gaurella Pendra Marwahi,Chhattisgarh,275.0,17.08,311.5,6.86,0.81,27.0,72,130,SHC_WMS_Farms,42,2023-24,734,22
Janjgir-Champa,Chhattisgarh,200.9,17.1,241.4,6.4,0.55,27.0,72,130,SHC_WMS_Farms,240,2024-25,379,22
Jashpur,Chhattisgarh,288.5,7.06,311.5,5.7,0.28,27.0,72,130,SHC_WMS_Farms,246,2024-25,380,22
Kabirdham,Chhattisgarh,376.32,17.02,517.77,7.5,0.55,27.0,72,130,SHC_WMS_Farms,69,2025-26,382,22
Kanker,Chhattisgarh,288.0,11.0,255.5,5.88,0.41,27.0,72,130,SHC_WMS_Farms,42,2025-26,381,22
Kondagaon,Chhattisgarh,238.6,20.61,221.26,6.52,0.54,27.0,72,130,SHC_WMS_Farms,298,2024-25,643,22
Korba,Chhattisgarh,125.0,16.3,280.0,6.2,0.3,27.0,72,130,SHC_WMS_Farms,394,2024-25,383,22
Korea,Chhattisgarh,196.94,6.27,361.51,5.8,0.67,27.0,72,130,SHC_WMS_Farms,51,2019-21,384,22
Mahasamund,Chhattisgarh,188.16,14.34,269.24,6.2,0.48,27.0,72,130,SHC_WMS_Farms,801,2024-25,385,22
Mungeli,Chhattisgarh,413.0,17.02,347.0,7.4,0.43,27.0,72,130,SHC_WMS_Farms,85,2025-26,647,22
Narayanpur,Chhattisgarh,213.3,12.18,229.6,6.0,0.51,27.0,72,130,SHC_WMS_Farms,99,2024-25,637,22
Raigarh,Chhattisgarh,263.42,7.97,161.28,6.5,0.56,27.0,72,130,SHC_WMS_Farms,51,2025-26,386,22
Raipur,Chhattisgarh,163.07,12.54,216.22,7.0,0.35,27.0,72,130,SHC_WMS_Farms,43,2025-26,387,22
Rajnandgaon,Chhattisgarh,175.0,8.74,94.08,7.1,0.59,27.0,72,130,SHC_WMS_Farms,87,2025-26,388,22
Sakti,Chhattisgarh,175.0,16.06,247.02,6.42,0.46,27.0,72,130,SHC_WMS_Farms,68,2024-25,762,22
Sarangarh Bilaigarh,Chhattisgarh,213.25,17.02,310.8,6.81,0.39,27.0,72,130,SHC_WMS_Farms,162,2024-25,763,22
Sukma,Chhattisgarh,175.6,22.05,238.75,6.59,0.59,27.0,72,130,SHC_WMS_Farms,195,2024-25,642,22
Surajpur,Chhattisgarh,213.24,14.33,190.0,5.8,0.52,27.0,72,130,SHC_WMS_Farms,128,2025-26,648,22
Surguja,Chhattisgarh,200.7,14.18,184.55,4.5,0.52,27.0,72,130,SHC_WMS_Farms,76,2025-26,389,22
