village,district,state,N,P,K,pH,OC,B,Fe,Zn,S,Temperature,Humidity,Rainfall_monthly,cycle,district_code,state_code,farms_averaged
Atargaon,Balod,Chhattisgarh,175.62,10.3,363.32,6.92,0.62,0.56,25.44,0.75,8.75,27.0,72,130,2024-25,646,22,2
Bodal,Balod,Chhattisgarh,238.34,9.56,620.04,6.61,0.64,0.86,28.87,1.07,7.9,27.0,72,130,2024-25,646,22,12
Borgaon,Balod,Chhattisgarh,243.1,30.2,441.21,5.56,0.41,0.53,36.35,0.64,9.84,27.0,72,130,2024-25,646,22,8
Dengrapar,Balod,Chhattisgarh,319.87,23.72,358.87,6.83,0.68,1.68,15.14,0.91,8.12,27.0,72,130,2024-25,646,22,4
Hitkasa,Balod,Chhattisgarh,235.83,16.26,345.36,6.47,0.78,0.75,36.06,0.7,6.5,27.0,72,130,2024-25,646,22,5
Jarwai,Balod,Chhattisgarh,236.25,12.84,277.05,7.1,0.58,0.88,25.79,0.82,10.42,27.0,72,130,2024-25,646,22,6
Kotera,Balod,Chhattisgarh,263.11,13.03,604.98,5.93,0.7,0.4,34.59,0.6,8.27,27.0,72,130,2024-25,646,22,13
Pakur Bhat,Balod,Chhattisgarh,263.42,21.32,309.97,6.79,0.64,0.58,13.63,0.31,10.75,27.0,72,130,2024-25,646,22,5
Pangri,Balod,Chhattisgarh,279.81,18.8,443.48,6.94,0.4,1.15,20.42,0.89,4.6,27.0,72,130,2024-25,646,22,13
Piparchhedi,Balod,Chhattisgarh,302.31,26.88,488.27,6.22,0.72,1.03,17.3,0.37,11.38,27.0,72,130,2024-25,646,22,10
Piparkhar,Balod,Chhattisgarh,259.61,11.41,328.01,6.57,0.52,0.81,33.65,1.0,5.92,27.0,72,130,2024-25,646,22,23
Saja,Balod,Chhattisgarh,261.63,11.0,385.97,6.75,0.83,0.61,32.66,0.64,9.29,27.0,72,130,2024-25,646,22,7
Taroud,Balod,Chhattisgarh,254.46,25.09,328.46,6.39,0.5,0.65,17.89,0.48,11.61,27.0,72,130,2024-25,646,22,7
Achankpur,Baloda Bazar,Chhattisgarh,288.57,13.44,290.08,6.4,0.35,0.2,4.33,0.44,37.5,27.0,72,130,2025-26,644,22,1
Arjuni,Baloda Bazar,Chhattisgarh,217.43,16.57,336.52,7.02,0.41,0.43,12.43,0.52,25.04,27.0,72,130,2025-26,644,22,6
Basin,Baloda Bazar,Chhattisgarh,163.07,9.86,496.16,7.2,0.28,0.1,8.42,0.16,32.5,27.0,72,130,2025-26,644,22,1
Basinpali,Baloda Bazar,Chhattisgarh,125.44,11.65,278.88,6.2,0.52,0.2,27.17,0.64,37.5,27.0,72,130,2025-26,644,22,1
Deori,Baloda Bazar,Chhattisgarh,190.84,18.14,358.52,6.8,0.66,0.29,10.23,0.58,26.47,27.0,72,130,2025-26,644,22,28
Dhekuna,Baloda Bazar,Chhattisgarh,171.43,7.76,386.96,7.52,0.44,0.47,10.36,0.74,58.75,27.0,72,130,2025-26,644,22,6
Jarve,Baloda Bazar,Chhattisgarh,172.98,14.11,422.59,7.12,0.51,0.25,14.1,0.53,30.0,27.0,72,130,2025-26,644,22,4
Sakri,Baloda Bazar,Chhattisgarh,206.55,15.38,264.26,6.58,0.41,0.52,8.09,0.46,22.6,27.0,72,130,2025-26,644,22,12
Adhaura,Balrampur,Chhattisgarh,270.95,8.62,235.2,5.51,0.45,0.91,30.09,0.58,26.77,27.0,72,130,2025-26,649,22,5
Bahar Chura (431879),Balrampur,Chhattisgarh,282.24,11.47,254.24,6.96,0.36,0.94,14.14,0.55,37.8,27.0,72,130,2025-26,649,22,2
Bhelwadih,Balrampur,Chhattisgarh,267.9,8.82,279.28,6.39,0.5,0.91,11.94,0.91,18.82,27.0,72,130,2025-26,649,22,14
Dipadih Kalan,Balrampur,Chhattisgarh,188.16,8.24,273.28,6.05,0.35,0.9,25.68,0.47,38.92,27.0,72,130,2025-26,649,22,1
