village,district,state,N,P,K,pH,OC,B,Fe,Zn,S,Temperature,Humidity,Rainfall_monthly,cycle,feature_id,district_code,state_code
Atargaon,Balod,Chhattisgarh,163.07,9.86,373.96,7.16,0.57,0.59,17.55,0.71,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.1130,646,22
Atargaon,Balod,Chhattisgarh,188.16,10.75,352.68,6.68,0.66,0.54,33.32,0.79,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.1171,646,22
Bodal,Balod,Chhattisgarh,175.616,16.128,748.83,6.45,0.54,1.06,27.62,0.67,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.633,646,22
Bodal,Balod,Chhattisgarh,238.336,6.272,527.74,6.69,0.58,1.02,27.52,0.57,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.636,646,22
Bodal,Balod,Chhattisgarh,313.6,10.752,476.11,6.45,0.9,0.2,24.1,1.17,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.637,646,22
Bodal,Balod,Chhattisgarh,301.056,6.272,643.66,6.48,0.82,0.61,30.38,1.09,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.638,646,22
Bodal,Balod,Chhattisgarh,188.16,5.376,566.38,6.73,0.45,0.66,27.15,0.84,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.2213,646,22
Bodal,Balod,Chhattisgarh,225.792,4.48,616.33,6.5,0.58,0.29,35.15,1.08,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.2242,646,22
Bodal,Balod,Chhattisgarh,213.248,8.064,578.7,6.79,0.52,0.84,29.2,1.38,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.2243,646,22
Bodal,Balod,Chhattisgarh,301.056,5.376,539.38,6.78,0.85,0.61,30.15,1.33,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.2244,646,22
Bodal,Balod,Chhattisgarh,225.792,17.92,810.56,6.67,0.75,1.39,27.61,1.29,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.2254,646,22
Bodal,Balod,Chhattisgarh,238.336,7.168,591.47,6.83,0.61,0.55,30.81,1.16,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.2258,646,22
Bodal,Balod,Chhattisgarh,213.248,17.024,740.76,6.26,0.52,2.6,28.61,1.24,6.0,27.0,72,130,2024-25,22_646_shc_2024-25.2275,646,22
Bodal,Balod,Chhattisgarh,225.792,9.856,600.56,6.65,0.52,0.5,28.16,1.0,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.2821,646,22
